iter	Passed	Remaining
0	41	12351
1	84	12593
2	133	13228
3	175	12957
4	220	12989
5	263	12915
6	309	12935
7	353	12894
8	397	12860
9	440	12785
10	486	12787
11	529	12712
12	571	12615
13	612	12515
14	658	12506
15	703	12491
16	747	12435
17	784	12293
18	826	12222
19	862	12078
20	903	12000
21	952	12035
22	998	12024
23	1036	11923
24	1133	12473
25	1176	12402
26	1217	12308
27	1260	12246
28	1303	12184
29	1349	12149
30	1395	12107
31	1445	12104
32	1487	12033
33	1533	11995
34	1573	11917
35	1615	11850
36	1656	11775
37	1700	11725
38	1738	11637
39	1780	11576
40	1819	11491
41	1858	11416
42	1895	11330
43	1941	11298
44	1986	11256
45	2030	11213
46	2070	11148
47	2114	11101
48	2155	11040
49	2198	10990
50	2237	10921
51	2275	10853
52	2316	10795
53	2354	10728
54	2393	10662
55	2430	10589
56	2469	10529
57	2509	10470
58	2550	10419
59	2596	10387
60	2641	10348
61	2686	10311
62	2730	10270
63	2768	10208
64	2812	10169
65	2852	10111
66	2897	10075
67	2946	10051
68	2997	10033
69	3043	9999
70	3089	9964
71	3130	9912
72	3171	9860
73	3207	9796
74	3251	9755
75	3296	9715
76	3339	9672
77	3382	9627
78	3423	9577
79	3464	9528
80	3504	9474
81	3548	9433
82	3588	9380
83	3628	9329
84	3668	9278
85	3709	9231
86	3751	9184
87	3790	9132
88	3833	9088
89	3874	9040
90	3914	8991
91	3961	8956
92	4014	8934
93	4060	8897
94	4104	8856
95	4152	8824
96	4193	8775
97	4236	8731
98	4274	8678
99	4319	8639
100	4357	8586
101	4396	8535
102	4437	8486
103	4474	8432
104	4517	8390
105	4557	8340
106	4601	8299
107	4644	8257
108	4681	8204
109	4723	8159
110	4762	8108
111	4804	8065
112	4872	8062
113	4957	8088
114	5005	8053
115	5052	8013
116	5096	7971
117	5136	7923
118	5178	7876
119	5214	7821
120	5251	7768
121	5292	7721
122	5330	7671
123	5366	7617
124	5403	7564
125	5440	7513
126	5480	7465
127	5518	7416
128	5555	7364
129	5593	7313
130	5633	7267
131	5669	7215
132	5708	7168
133	5745	7118
134	5784	7069
135	5820	7018
136	5858	6970
137	5896	6922
138	5941	6881
139	5985	6840
140	6025	6794
141	6063	6746
142	6101	6699
143	6142	6654
144	6181	6607
145	6221	6562
146	6257	6513
147	6299	6469
148	6339	6424
149	6377	6377
150	6415	6330
151	6453	6283
152	6493	6238
153	6530	6191
154	6570	6146
155	6608	6099
156	6650	6057
157	6689	6011
158	6727	5966
159	6764	5918
160	6804	5874
161	6842	5828
162	6882	5784
163	6920	5739
164	6968	5701
165	7012	5660
166	7049	5614
167	7090	5570
168	7128	5525
169	7168	5481
170	7206	5436
171	7244	5391
172	7284	5347
173	7325	5304
174	7362	5258
175	7402	5215
176	7440	5170
177	7479	5126
178	7519	5083
179	7557	5038
180	7594	4993
181	7633	4948
182	7671	4904
183	7710	4860
184	7749	4817
185	7787	4773
186	7826	4729
187	7864	4685
188	7905	4642
189	7949	4602
190	7996	4563
191	8036	4520
192	8075	4476
193	8113	4432
194	8152	4390
195	8193	4347
196	8231	4303
197	8267	4258
198	8312	4218
199	8349	4174
200	8387	4131
201	8428	4089
202	8465	4044
203	8504	4002
204	8543	3959
205	8581	3915
206	8618	3872
207	8655	3828
208	8695	3786
209	8734	3743
210	8771	3700
211	8811	3657
212	8847	3613
213	8885	3570
214	8927	3529
215	8973	3489
216	9015	3448
217	9054	3405
218	9093	3363
219	9133	3321
220	9174	3279
221	9212	3236
222	9249	3193
223	9290	3152
224	9328	3109
225	9365	3066
226	9403	3024
227	9441	2981
228	9482	2939
229	9520	2897
230	9558	2855
231	9597	2812
232	9635	2770
233	9675	2728
234	9713	2686
235	9753	2645
236	9793	2603
237	9832	2561
238	9874	2520
239	9917	2479
240	9960	2438
241	10004	2397
242	10043	2355
243	10084	2314
244	10128	2273
245	10172	2233
246	10210	2190
247	10266	2152
248	10328	2115
249	10383	2076
250	10443	2038
251	10529	2005
252	10587	1966
253	10624	1924
254	10663	1881
255	10704	1839
256	10745	1797
257	10787	1756
258	10828	1714
259	10866	1671
260	10908	1629
261	10952	1588
262	10998	1547
263	11046	1506
264	11091	1464
265	11134	1423
266	11176	1381
267	11217	1339
268	11259	1297
269	11308	1256
270	11352	1214
271	11393	1172
272	11432	1130
273	11476	1089
274	11516	1046
275	11558	1005
276	11602	963
277	11644	921
278	11688	879
279	11729	837
280	11768	795
281	11803	753
282	11844	711
283	11883	669
284	11925	627
285	11972	586
286	12015	544
287	12063	502
288	12100	460
289	12140	418
290	12180	376
291	12217	334
292	12254	292
293	12295	250
294	12333	209
295	12374	167
296	12423	125
297	12481	83
298	12529	41
299	12623	0
